index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
119,"['V2', 'V15', 'V10', 'V18', 'V13', 'V22', 'V17']",7,5,-31.639412209640987,0.9721555438318824,"(0.6046511627906976,)","(0.6842105263157895,)","(0.5416666666666666,)",0.9517049743223918,"(0.5119705340699815,)","(0.6318181818181818,)","(0.43034055727554177,)"
120,"['V2', 'V14', 'V25', 'V19', 'V18', 'V21', 'V28']",7,4,-30.583710804771624,0.9671621750344384,"(0.4453781512605042,)","(0.3732394366197183,)","(0.5520833333333334,)",0.9554382847733307,"(0.3962765957446808,)","(0.3473193473193473,)","(0.4613003095975232,)"
121,"['V4', 'V19', 'V13', 'V9', 'V22', 'V24']",6,3,-21.291718547286376,0.8842464975526833,"(0.14285714285714288,)","(0.125,)","(0.16666666666666666,)",0.8833298098935743,"(0.13104524180967236,)","(0.1320754716981132,)","(0.13003095975232198,)"
122,"['V14', 'V23', 'V18', 'V6', 'V5', 'V21', 'V1', 'V28']",8,4,-37.802496912879,0.9567405624432134,"(0.38211382113821135,)","(0.31333333333333335,)","(0.4895833333333333,)",0.9533170003653667,"(0.33788819875776394,)","(0.2821576763485477,)","(0.42105263157894735,)"
123,"['V14', 'V25', 'V10', 'V7', 'V20', 'V9', 'V17']",7,1,-125.14951955517301,0.9748992496849263,"(0.5,)","(0.4435483870967742,)","(0.5729166666666666,)",0.9614618506128667,"(0.44507042253521123,)","(0.4082687338501292,)","(0.4891640866873065,)"
124,"['V15', 'V25', 'V7', 'V18', 'V21', 'V24']",6,2,-34.782069358723646,0.8904585787977374,"(0.3055555555555555,)","(0.4583333333333333,)","(0.22916666666666666,)",0.8881264011494718,"(0.2771855010660981,)","(0.4452054794520548,)","(0.20123839009287925,)"
125,"['V8', 'V14', 'V16', 'V7', 'V10', 'V11', 'V9', 'V26']",8,7,-33.04420655190019,0.970946723233389,"(0.6336633663366337,)","(0.6037735849056604,)","(0.6666666666666666,)",0.9552062554176132,"(0.5532544378698226,)","(0.5297450424929179,)","(0.5789473684210527,)"
126,"['V2', 'V16', 'V10', 'V18', 'V11', 'V22', 'V17', 'V26']",8,7,-29.405987855647787,0.9723187593423019,"(0.5315315315315315,)","(0.46825396825396826,)","(0.6145833333333334,)",0.9593236791586524,"(0.47579529737206083,)","(0.43,)","(0.5325077399380805,)"
127,"['V14', 'V16', 'V12', 'V7', 'V6', 'V28']",6,3,-32.56611717198609,0.9624162856472933,"(0.5913978494623656,)","(0.6111111111111112,)","(0.5729166666666666,)",0.9561411410614009,"(0.5285481239804242,)","(0.5586206896551724,)","(0.5015479876160991,)"
128,"['V10', 'V4', 'V20', 'V9', 'V27', 'V1', 'V17', 'V3']",8,5,-45.70801753319843,0.965380543099153,"(0.5235602094240838,)","(0.5263157894736842,)","(0.5208333333333334,)",0.9565814104814915,"(0.4423380726698262,)","(0.45161290322580644,)","(0.43343653250773995,)"
