index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
184,"['V25', 'V16', 'V19', 'V18', 'V20', 'V13', 'V6', 'V3']",8,3,-42.0628123453067,0.9470872168000234,"(0.3857868020304568,)","(0.37623762376237624,)","(0.3958333333333333,)",0.9383586625345449,"(0.3447204968944099,)","(0.34579439252336447,)","(0.34365325077399383,)"
185,"['V2', 'V12', 'V7', 'V13', 'V5', 'V21', 'V22', 'V26']",8,6,-36.190740942059016,0.924400627216507,"(0.4623655913978495,)","(0.4777777777777778,)","(0.4479166666666667,)",0.9309921576925781,"(0.416260162601626,)","(0.4383561643835616,)","(0.39628482972136225,)"
186,"['V2', 'V25', 'V7', 'V11', 'V20', 'V1']",6,1,-118.54697116569194,0.9156089715407837,"(0.2037037037037037,)","(0.18333333333333332,)","(0.22916666666666666,)",0.9177760671453083,"(0.16494845360824742,)","(0.15730337078651685,)","(0.17337461300309598,)"
187,"['V25', 'V23', 'V10', 'V18', 'V13', 'V22', 'V24']",7,6,-26.44181213783557,0.9247554515079575,"(0.4311377245508982,)","(0.5070422535211268,)","(0.375,)",0.9283430358181455,"(0.3540489642184557,)","(0.4519230769230769,)","(0.29102167182662536,)"
188,"['V7', 'V4', 'V12', 'V11', 'V13', 'V24']",6,5,-34.323036849341015,0.9577227864239867,"(0.574585635359116,)","(0.611764705882353,)","(0.5416666666666666,)",0.947245386858524,"(0.5201342281879194,)","(0.5677655677655677,)","(0.47987616099071206,)"
189,"['V19', 'V20', 'V13', 'V9', 'V27', 'V1', 'V17']",7,4,-26.204674538078606,0.9656173979307717,"(0.5306122448979592,)","(0.52,)","(0.5416666666666666,)",0.9525034233544132,"(0.4402515723270441,)","(0.4472843450479233,)","(0.43343653250773995,)"
190,"['V15', 'V19', 'V13', 'V6', 'V3', 'V26']",6,7,-23.073613178163434,0.9245109030159149,"(0.2676056338028169,)","(0.41304347826086957,)","(0.19791666666666666,)",0.8911803262962655,"(0.22457627118644072,)","(0.35570469798657717,)","(0.16408668730650156,)"
191,"['V23', 'V16', 'V4', 'V19', 'V21', 'V1']",6,7,-23.316388587019464,0.9545134309329114,"(0.48000000000000004,)","(0.46153846153846156,)","(0.5,)",0.9459891950043895,"(0.4082934609250399,)","(0.42105263157894735,)","(0.39628482972136225,)"
192,"['V8', 'V15', 'V11', 'V13', 'V5', 'V21', 'V22', 'V17']",8,7,-27.009219088136664,0.9612536270113428,"(0.44651162790697674,)","(0.40336134453781514,)","(0.5,)",0.9535880307564712,"(0.39883551673944684,)","(0.37637362637362637,)","(0.4241486068111455,)"
193,"['V7', 'V12', 'V18', 'V13', 'V6', 'V3', 'V26']",7,4,-40.745874794712265,0.9291637357484099,"(0.6077348066298343,)","(0.6470588235294118,)","(0.5729166666666666,)",0.9221946264581182,"(0.5187713310580204,)","(0.5779467680608364,)","(0.47058823529411764,)"
194,"['V2', 'V10', 'V4', 'V12', 'V13', 'V22', 'V24', 'V26']",8,7,-29.834404228317865,0.9692414783551686,"(0.5775401069518715,)","(0.5934065934065934,)","(0.5625,)",0.9482962871801704,"(0.49917355371900834,)","(0.5354609929078015,)","(0.4674922600619195,)"
195,"['V23', 'V10', 'V4', 'V20', 'V9', 'V1', 'V24']",7,1,-117.42353713393643,0.9483405507195404,"(0.21395348837209302,)","(0.19327731092436976,)","(0.23958333333333334,)",0.93211549808167,"(0.152327221438646,)","(0.13989637305699482,)","(0.16718266253869968,)"
196,"['V8', 'V23', 'V13', 'V9', 'V21', 'V3']",6,3,-44.48211327665084,0.891485682464316,"(0.21428571428571427,)","(0.3409090909090909,)","(0.15625,)",0.8923933623655388,"(0.1182033096926714,)","(0.25,)","(0.07739938080495357,)"
197,"['V2', 'V23', 'V16', 'V12', 'V9', 'V5', 'V21', 'V26']",8,6,-32.097858840975384,0.9273676324042323,"(0.4541484716157205,)","(0.39097744360902253,)","(0.5416666666666666,)",0.9301826349129663,"(0.3891050583657587,)","(0.33482142857142855,)","(0.46439628482972134,)"
198,"['V10', 'V4', 'V7', 'V20', 'V27', 'V24']",6,1,-153.6128447648009,0.9565582959641256,"(0.26519337016574585,)","(0.2823529411764706,)","(0.25,)",0.9397813459220457,"(0.21946902654867254,)","(0.256198347107438,)","(0.19195046439628483,)"
199,"['V8', 'V15', 'V12', 'V10', 'V11', 'V6', 'V1', 'V28']",8,6,-27.991785211509608,0.9541175737858671,"(0.4541484716157205,)","(0.39097744360902253,)","(0.5416666666666666,)",0.9469889651026676,"(0.40700808625336926,)","(0.360381861575179,)","(0.4674922600619195,)"
200,"['V25', 'V18', 'V13', 'V6', 'V27', 'V21', 'V26']",7,1,-275.60528164176117,0.8564379451332103,"(0.07079646017699115,)","(0.23529411764705882,)","(0.041666666666666664,)",0.8410052764815733,"(0.03296703296703297,)","(0.14634146341463414,)","(0.018575851393188854,)"
201,"['V2', 'V16', 'V7', 'V18', 'V13', 'V3']",6,5,-35.163304578920325,0.9284903572789355,"(0.4662576687116564,)","(0.5671641791044776,)","(0.3958333333333333,)",0.9383915152108311,"(0.4163568773234201,)","(0.5209302325581395,)","(0.34674922600619196,)"
202,"['V7', 'V10', 'V6', 'V5', 'V1']",5,4,-32.3164334679555,0.9443251927078753,"(0.287292817679558,)","(0.3058823529411765,)","(0.2708333333333333,)",0.9362313637916565,"(0.24149659863945577,)","(0.2679245283018868,)","(0.21981424148606812,)"
203,"['V14', 'V16', 'V7', 'V4', 'V11', 'V6', 'V5', 'V28']",8,1,-117.40075154396456,0.96879213194994,"(0.4242424242424242,)","(0.362962962962963,)","(0.5104166666666666,)",0.9546896759819778,"(0.35519125683060115,)","(0.31784841075794623,)","(0.4024767801857585,)"
204,"['V8', 'V12', 'V7', 'V18', 'V20', 'V28', 'V26']",7,3,-32.00757720822444,0.9207869881883993,"(0.4732142857142857,)","(0.4140625,)","(0.5520833333333334,)",0.9256251930471675,"(0.42600276625172895,)","(0.385,)","(0.47678018575851394,)"
205,"['V14', 'V25', 'V18', 'V6', 'V5', 'V21', 'V28', 'V3']",8,1,-245.2179943729701,0.9508785427474429,"(0.3225806451612903,)","(0.423728813559322,)","(0.2604166666666667,)",0.9367526675795166,"(0.24950495049504948,)","(0.34615384615384615,)","(0.19504643962848298,)"
206,"['V8', 'V14', 'V16', 'V10', 'V7', 'V11', 'V17', 'V3']",8,4,-66.1530590907831,0.9676816802954367,"(0.7956989247311829,)","(0.8222222222222222,)","(0.7708333333333334,)",0.9581501969744947,"(0.7269736842105263,)","(0.775438596491228,)","(0.6842105263157895,)"
207,"['V2', 'V15', 'V16', 'V18', 'V20', 'V27', 'V28', 'V24']",8,6,-28.809063313911224,0.9229410299246754,"(0.43575418994413406,)","(0.46987951807228917,)","(0.40625,)",0.9195506310084398,"(0.37037037037037035,)","(0.4059040590405904,)","(0.34055727554179566,)"
208,"['V25', 'V4', 'V20', 'V6', 'V27', 'V22', 'V3']",7,1,-146.30243732331792,0.9271135584278554,"(0.1764705882352941,)","(0.20270270270270271,)","(0.15625,)",0.9013492766706813,"(0.09022556390977442,)","(0.11483253588516747,)","(0.07430340557275542,)"
209,"['V14', 'V23', 'V10', 'V11', 'V20', 'V17']",6,5,-27.33712073780015,0.9713347035376183,"(0.6169154228855722,)","(0.5904761904761905,)","(0.6458333333333334,)",0.9651432099423556,"(0.5741029641185648,)","(0.5786163522012578,)","(0.5696594427244582,)"
210,"['V12', 'V7', 'V9', 'V27', 'V21', 'V28']",6,5,-37.421105793517334,0.924906393798177,"(0.4685714285714285,)","(0.5189873417721519,)","(0.4270833333333333,)",0.927099157435235,"(0.41946308724832215,)","(0.45787545787545786,)","(0.38699690402476783,)"
211,"['V2', 'V12', 'V11', 'V22', 'V17']",5,7,-20.764420253315375,0.9628914607696591,"(0.6000000000000001,)","(0.6891891891891891,)","(0.53125,)",0.9555179118872459,"(0.5630712979890311,)","(0.6875,)","(0.47678018575851394,)"
212,"['V8', 'V15', 'V10', 'V4', 'V11', 'V5', 'V28']",7,4,-45.601948434155716,0.9617469371904217,"(0.4444444444444444,)","(0.6666666666666666,)","(0.3333333333333333,)",0.946863853533823,"(0.38923395445134573,)","(0.5875,)","(0.29102167182662536,)"
213,"['V8', 'V15', 'V9', 'V27', 'V21', 'V1', 'V28', 'V24']",8,3,-36.4832255327661,0.8992733154547319,"(0.14883720930232558,)","(0.13445378151260504,)","(0.16666666666666666,)",0.894191765779081,"(0.1051051051051051,)","(0.10204081632653061,)","(0.10835913312693499,)"
214,"['V23', 'V10', 'V4', 'V7', 'V5', 'V21', 'V26']",7,2,-54.56331877630024,0.9416217869808611,"(0.2780748663101604,)","(0.2857142857142857,)","(0.2708333333333333,)",0.9350232363578508,"(0.23178807947019867,)","(0.2491103202846975,)","(0.21671826625386997,)"
215,"['V8', 'V25', 'V16', 'V7', 'V18', 'V13', 'V3', 'V24']",8,7,-39.880196230370224,0.9368890867258712,"(0.46428571428571425,)","(0.5416666666666666,)","(0.40625,)",0.9343583089117549,"(0.4232209737827715,)","(0.5355450236966824,)","(0.3498452012383901,)"
216,"['V15', 'V16', 'V7', 'V12', 'V11', 'V13', 'V22']",7,6,-38.66553148181345,0.9413406020106099,"(0.5568181818181818,)","(0.6125,)","(0.5104166666666666,)",0.9415822790419207,"(0.4859154929577465,)","(0.563265306122449,)","(0.42724458204334365,)"
217,"['V19', 'V11', 'V20', 'V1', 'V24']",5,1,-68.44516219080128,0.9248452108795685,"(0.1923076923076923,)","(0.17857142857142858,)","(0.20833333333333334,)",0.9107031087561127,"(0.0919175911251981,)","(0.09415584415584416,)","(0.08978328173374613,)"
218,"['V8', 'V25', 'V12', 'V18', 'V5', 'V27', 'V22']",7,7,-27.47920589965622,0.9297632917142941,"(0.48554913294797686,)","(0.5454545454545454,)","(0.4375,)",0.9205856997242269,"(0.45454545454545453,)","(0.5506607929515418,)","(0.38699690402476783,)"
219,"['V8', 'V25', 'V4', 'V13', 'V5', 'V28', 'V3']",7,6,-26.473206382527096,0.933157844602714,"(0.2528735632183908,)","(0.28205128205128205,)","(0.22916666666666666,)",0.9312393652862943,"(0.1933085501858736,)","(0.24186046511627907,)","(0.1609907120743034,)"
220,"['V2', 'V15', 'V10', 'V7', 'V21', 'V1', 'V28', 'V3']",8,3,-47.31220777236625,0.9519285442129019,"(0.25263157894736843,)","(0.2553191489361702,)","(0.25,)",0.9430924969697553,"(0.2168284789644013,)","(0.2271186440677966,)","(0.20743034055727555,)"
221,"['V2', 'V15', 'V14', 'V11', 'V13', 'V5', 'V3', 'V26']",8,7,-27.493755000881592,0.9703326958586125,"(0.5858585858585857,)","(0.5686274509803921,)","(0.6041666666666666,)",0.9558895274228794,"(0.5184049079754601,)","(0.513677811550152,)","(0.5232198142414861,)"
222,"['V14', 'V23', 'V12', 'V11', 'V20', 'V6', 'V5', 'V28']",8,6,-34.89215751925827,0.9682118101351154,"(0.49056603773584906,)","(0.4482758620689655,)","(0.5416666666666666,)",0.960636412462285,"(0.417462482946794,)","(0.37317073170731707,)","(0.47368421052631576,)"
223,"['V2', 'V7', 'V12', 'V10', 'V19', 'V5', 'V22']",7,7,-29.87673316595046,0.9545934816377971,"(0.5492227979274611,)","(0.5463917525773195,)","(0.5520833333333334,)",0.9492037481268237,"(0.5032679738562092,)","(0.532871972318339,)","(0.47678018575851394,)"
224,"['V16', 'V18', 'V11', 'V13', 'V21', 'V17', 'V3']",7,5,-30.352884718086326,0.9702933116445382,"(0.5925925925925927,)","(0.6021505376344086,)","(0.5833333333333334,)",0.9578342684842334,"(0.5116279069767442,)","(0.5519713261648745,)","(0.47678018575851394,)"
225,"['V8', 'V16', 'V7', 'V12', 'V19', 'V13', 'V27', 'V1']",8,6,-32.976846309467106,0.9381321624314898,"(0.4554455445544555,)","(0.4339622641509434,)","(0.4791666666666667,)",0.938966646458613,"(0.40930232558139534,)","(0.40993788819875776,)","(0.4086687306501548,)"
226,"['V2', 'V14', 'V7', 'V4', 'V17', 'V21', 'V28', 'V3']",8,1,-199.29654758049838,0.9717985213517395,"(0.4313725490196078,)","(0.4074074074074074,)","(0.4583333333333333,)",0.9615527692636594,"(0.3609022556390977,)","(0.3508771929824561,)","(0.3715170278637771,)"
227,"['V8', 'V10', 'V6', 'V1', 'V3', 'V26']",6,2,-62.37006861160227,0.9083162973709664,"(0.2933333333333333,)","(0.4074074074074074,)","(0.22916666666666666,)",0.9093251726905703,"(0.2384937238493724,)","(0.36774193548387096,)","(0.17647058823529413,)"
228,"['V2', 'V23', 'V10', 'V12', 'V27', 'V28', 'V17', 'V24']",8,4,-40.876714703850695,0.9601724845394062,"(0.5408163265306124,)","(0.53,)","(0.5520833333333334,)",0.9475206892702572,"(0.4596651445966514,)","(0.45209580838323354,)","(0.4674922600619195,)"
229,"['V2', 'V25', 'V19', 'V11', 'V9', 'V22', 'V26']",7,1,-61.28855784797958,0.9143796345144934,"(0.26455026455026454,)","(0.26881720430107525,)","(0.2604166666666667,)",0.9055565133630563,"(0.19561551433389546,)","(0.21481481481481482,)","(0.17956656346749225,)"
230,"['V8', 'V25', 'V7', 'V10', 'V18', 'V21']",6,1,-145.43906259043305,0.9309307130924117,"(0.244131455399061,)","(0.2222222222222222,)","(0.2708333333333333,)",0.9242803609532423,"(0.21571648690292755,)","(0.2147239263803681,)","(0.21671826625386997,)"
231,"['V16', 'V7', 'V18', 'V5', 'V28', 'V3', 'V24']",7,6,-29.788056678093177,0.9380418535127056,"(0.48863636363636365,)","(0.5375,)","(0.4479166666666667,)",0.9411760015036172,"(0.4105263157894737,)","(0.47368421052631576,)","(0.3622291021671827,)"
232,"['V25', 'V16', 'V7', 'V19', 'V18', 'V11', 'V6', 'V24']",8,3,-34.63172636872767,0.9475383950291627,"(0.42396313364055305,)","(0.38016528925619836,)","(0.4791666666666667,)",0.9382942974237387,"(0.3647058823529412,)","(0.3473389355742297,)","(0.38390092879256965,)"
233,"['V8', 'V10', 'V18', 'V11', 'V27', 'V17', 'V24']",7,6,-28.524188809412202,0.9617108502593863,"(0.6395348837209303,)","(0.7236842105263158,)","(0.5729166666666666,)",0.9496195916407312,"(0.5591397849462366,)","(0.6638297872340425,)","(0.48297213622291024,)"
234,"['V14', 'V25', 'V23', 'V4', 'V19', 'V6', 'V5']",7,7,-28.43611731401961,0.9768558208036577,"(0.5026178010471204,)","(0.5052631578947369,)","(0.5,)",0.9608959167742028,"(0.47244094488188976,)","(0.4807692307692308,)","(0.46439628482972134,)"
235,"['V2', 'V18', 'V6', 'V21', 'V22', 'V28']",6,2,-24.90286409830449,0.8891125545883525,"(0.20245398773006135,)","(0.14347826086956522,)","(0.34375,)",0.9004920077781602,"(0.1634615384615385,)","(0.11854951185495119,)","(0.2631578947368421,)"
236,"['V8', 'V15', 'V23', 'V16', 'V19', 'V20', 'V13', 'V27']",8,6,-28.86605264458195,0.9174140508221226,"(0.3842364532019704,)","(0.3644859813084112,)","(0.40625,)",0.9130036672532849,"(0.32473444613050073,)","(0.31845238095238093,)","(0.33126934984520123,)"
237,"['V25', 'V12', 'V11', 'V13', 'V27', 'V28', 'V26']",7,5,-23.17987896126631,0.9308371068905889,"(0.44827586206896547,)","(0.38235294117647056,)","(0.5416666666666666,)",0.9191290077019171,"(0.3861111111111112,)","(0.3501259445843829,)","(0.43034055727554177,)"
238,"['V23', 'V16', 'V19', 'V11', 'V20', 'V22', 'V1', 'V28']",8,3,-30.8161107528292,0.9515270084117353,"(0.3703703703703704,)","(0.30612244897959184,)","(0.46875,)",0.9418176087429868,"(0.29638854296388545,)","(0.24791666666666667,)","(0.3684210526315789,)"
239,"['V8', 'V15', 'V12', 'V6', 'V27', 'V21', 'V22', 'V3']",8,1,-245.57761171291543,0.9146320598493508,"(0.25,)","(0.3125,)","(0.20833333333333334,)",0.903482355206185,"(0.16806722689075632,)","(0.26143790849673204,)","(0.1238390092879257,)"
240,"['V2', 'V14', 'V19', 'V13', 'V5', 'V27', 'V21']",7,7,-28.552873366233904,0.9585635935988746,"(0.45871559633027525,)","(0.4098360655737705,)","(0.5208333333333334,)",0.9543163013790268,"(0.39660056657223797,)","(0.36553524804177545,)","(0.43343653250773995,)"
241,"['V2', 'V23', 'V13', 'V6', 'V22', 'V1', 'V24']",7,7,-28.92069682703171,0.8749992672704359,"(0.19047619047619047,)","(0.27450980392156865,)","(0.14583333333333334,)",0.8741976873022631,"(0.06881720430107527,)","(0.11267605633802817,)","(0.04953560371517028,)"
242,"['V11', 'V6', 'V27', 'V1', 'V24', 'V26']",6,1,-83.50289348968647,0.8956877033324542,"(0.1862745098039216,)","(0.17592592592592593,)","(0.19791666666666666,)",0.8628443987853858,"(0.08460236886632827,)","(0.09328358208955224,)","(0.07739938080495357,)"
243,"['V15', 'V10', 'V13', 'V6', 'V21', 'V3', 'V26']",7,4,-58.09188858097057,0.9323600852897211,"(0.36764705882352944,)","(0.625,)","(0.2604166666666667,)",0.9208725952272349,"(0.31319910514541394,)","(0.5645161290322581,)","(0.21671826625386997,)"
244,"['V7', 'V10', 'V11', 'V21', 'V22', 'V17', 'V26']",7,7,-29.717048643009505,0.9620706204753949,"(0.5662650602409638,)","(0.6714285714285714,)","(0.4895833333333333,)",0.9550591973898523,"(0.4914285714285714,)","(0.6386138613861386,)","(0.3993808049535604,)"
245,"['V14', 'V10', 'V4', 'V12', 'V13', 'V9', 'V24']",7,7,-22.950277907727564,0.9762923517688091,"(0.5320197044334976,)","(0.5046728971962616,)","(0.5625,)",0.9634680082531417,"(0.5104477611940299,)","(0.49279538904899134,)","(0.5294117647058824,)"
246,"['V16', 'V10', 'V7', 'V9', 'V5', 'V1', 'V3', 'V26']",8,5,-39.164523634200705,0.9584967320261438,"(0.4712041884816754,)","(0.47368421052631576,)","(0.46875,)",0.9463563709891736,"(0.38719999999999993,)","(0.40066225165562913,)","(0.3746130030959752,)"
247,"['V10', 'V11', 'V20', 'V5', 'V3', 'V24', 'V26']",7,3,-51.077805384027855,0.9342432002696444,"(0.38410596026490057,)","(0.5272727272727272,)","(0.3020833333333333,)",0.9360869192353392,"(0.3220338983050848,)","(0.5100671140939598,)","(0.23529411764705882,)"
248,"['V16', 'V7', 'V10', 'V20', 'V13', 'V22', 'V24']",7,5,-29.17098527958139,0.9490771271139247,"(0.4648648648648649,)","(0.48314606741573035,)","(0.4479166666666667,)",0.9445329385606537,"(0.3909249563699826,)","(0.448,)","(0.34674922600619196,)"
249,"['V12', 'V19', 'V11', 'V9', 'V6', 'V22', 'V28']",7,2,-33.47719446233573,0.9415965078108971,"(0.39669421487603307,)","(0.3287671232876712,)","(0.5,)",0.9273438520756401,"(0.35419440745672437,)","(0.3107476635514019,)","(0.4117647058823529,)"
250,"['V8', 'V10', 'V19', 'V17', 'V3', 'V26']",6,7,-23.302875736413178,0.9684999560362262,"(0.6129032258064516,)","(0.6333333333333333,)","(0.59375,)",0.9550779440215525,"(0.5049180327868853,)","(0.5365853658536586,)","(0.47678018575851394,)"
251,"['V14', 'V25', 'V19', 'V20', 'V9', 'V5', 'V27', 'V1']",8,2,-174.00339137041544,0.958641995662241,"(0.32098765432098764,)","(0.3939393939393939,)","(0.2708333333333333,)",0.9489912360418218,"(0.22626262626262628,)","(0.32558139534883723,)","(0.17337461300309598,)"
252,"['V14', 'V10', 'V4', 'V19', 'V13', 'V6', 'V17']",7,7,-30.975720773469074,0.9843490796916674,"(0.6596858638743456,)","(0.6631578947368421,)","(0.65625,)",0.9652164541548609,"(0.6047999999999999,)","(0.6258278145695364,)","(0.5851393188854489,)"
253,"['V15', 'V25', 'V16', 'V7', 'V4', 'V13', 'V17']",7,7,-25.883306561684392,0.9758102157155837,"(0.5502645502645503,)","(0.5591397849462365,)","(0.5416666666666666,)",0.9626214948007918,"(0.49185667752443,)","(0.5189003436426117,)","(0.4674922600619195,)"
254,"['V14', 'V4', 'V20', 'V6', 'V22', 'V1', 'V17']",7,1,-105.6552616216662,0.9756105469093468,"(0.4727272727272728,)","(0.41935483870967744,)","(0.5416666666666666,)",0.9560004491820279,"(0.4083916083916084,)","(0.37244897959183676,)","(0.4520123839009288,)"
255,"['V14', 'V23', 'V10', 'V11', 'V6', 'V5', 'V1', 'V24']",8,6,-31.831969952884226,0.9673572642808992,"(0.5555555555555555,)","(0.5392156862745098,)","(0.5729166666666666,)",0.9557650859749177,"(0.4727272727272728,)","(0.4629080118694362,)","(0.48297213622291024,)"
256,"['V25', 'V10', 'V9', 'V27', 'V1', 'V28']",6,6,-23.496679249022343,0.9425508880682317,"(0.2793296089385475,)","(0.30120481927710846,)","(0.2604166666666667,)",0.9377077071088584,"(0.20105820105820107,)","(0.2336065573770492,)","(0.17647058823529413,)"
257,"['V14', 'V10', 'V20', 'V13', 'V22', 'V17', 'V3', 'V24']",8,2,-44.27874325512935,0.9685003224010081,"(0.6153846153846154,)","(0.6060606060606061,)","(0.625,)",0.9628261329654191,"(0.5513866231647635,)","(0.5827586206896552,)","(0.5232198142414861,)"
258,"['V8', 'V14', 'V23', 'V7', 'V10', 'V19', 'V3', 'V26']",8,7,-32.10041501163965,0.9687978106040622,"(0.5524861878453039,)","(0.5882352941176471,)","(0.5208333333333334,)",0.9600577630798676,"(0.49391304347826087,)","(0.5634920634920635,)","(0.43962848297213625,)"
259,"['V8', 'V25', 'V16', 'V7', 'V13', 'V6', 'V21']",7,3,-59.3750103004548,0.9179703757437204,"(0.37681159420289856,)","(0.6190476190476191,)","(0.2708333333333333,)",0.9171125134470226,"(0.3087557603686636,)","(0.6036036036036037,)","(0.20743034055727555,)"
260,"['V8', 'V2', 'V16', 'V20', 'V21', 'V26']",6,2,-44.82067543614839,0.9168456358627158,"(0.2950819672131148,)","(0.3103448275862069,)","(0.28125,)",0.9138235936596042,"(0.23783783783783788,)","(0.28448275862068967,)","(0.2043343653250774,)"
261,"['V14', 'V25', 'V12', 'V10', 'V18', 'V5', 'V1']",7,5,-38.02826127984371,0.9770979879246169,"(0.5934065934065934,)","(0.627906976744186,)","(0.5625,)",0.9515853074857211,"(0.5068493150684932,)","(0.5670498084291188,)","(0.4582043343653251,)"
262,"['V16', 'V7', 'V4', 'V10', 'V11', 'V9', 'V27']",7,4,-36.81904089891411,0.9735836337524546,"(0.5081081081081081,)","(0.5280898876404494,)","(0.4895833333333333,)",0.9554450697472705,"(0.4565587734241908,)","(0.5075757575757576,)","(0.4148606811145511,)"
263,"['V15', 'V19', 'V27', 'V21', 'V22', 'V1', 'V28']",7,5,-21.63771390261164,0.910358781031097,"(0.13675213675213677,)","(0.11594202898550725,)","(0.16666666666666666,)",0.9115489353345577,"(0.08253094910591471,)","(0.07425742574257425,)","(0.09287925696594428,)"
264,"['V19', 'V18', 'V9', 'V5', 'V6', 'V22', 'V28', 'V3']",8,7,-47.317211867234654,0.9365441542835371,"(0.36111111111111105,)","(0.5416666666666666,)","(0.2708333333333333,)",0.9285625339133521,"(0.30042918454935624,)","(0.48951048951048953,)","(0.21671826625386997,)"
265,"['V25', 'V23', 'V12', 'V10', 'V13', 'V22']",6,7,-26.620479369894095,0.931708871889563,"(0.41379310344827586,)","(0.46153846153846156,)","(0.375,)",0.939233438335133,"(0.3659420289855072,)","(0.4410480349344978,)","(0.3126934984520124,)"
266,"['V8', 'V14', 'V23', 'V7', 'V11', 'V13', 'V6', 'V17']",8,2,-63.0125645847044,0.9679102919194584,"(0.5181347150259067,)","(0.5154639175257731,)","(0.5208333333333334,)",0.9588331339193193,"(0.4566929133858268,)","(0.46474358974358976,)","(0.44891640866873067,)"
267,"['V15', 'V14', 'V16', 'V20', 'V13', 'V9', 'V17']",7,5,-43.308227464370916,0.9689104677745538,"(0.6424870466321243,)","(0.6391752577319587,)","(0.6458333333333334,)",0.9624933174289076,"(0.5870967741935484,)","(0.6127946127946128,)","(0.5634674922600619,)"
268,"['V25', 'V16', 'V11', 'V20', 'V6', 'V28', 'V3']",7,7,-25.94346046819419,0.9512324511269381,"(0.4903846153846154,)","(0.45535714285714285,)","(0.53125,)",0.9435137684628145,"(0.4163027656477439,)","(0.39285714285714285,)","(0.44272445820433437,)"
269,"['V14', 'V25', 'V23', 'V18', 'V11', 'V6', 'V28', 'V24']",8,1,-59.62197739063873,0.9560732289926434,"(0.3176470588235294,)","(0.22131147540983606,)","(0.5625,)",0.9377443292151111,"(0.2802547770700637,)","(0.19845360824742267,)","(0.47678018575851394,)"
270,"['V2', 'V15', 'V11', 'V9', 'V27', 'V21', 'V28']",7,7,-32.585918247160485,0.9258274348603417,"(0.3535911602209945,)","(0.3764705882352941,)","(0.3333333333333333,)",0.9189327963073928,"(0.33797909407665505,)","(0.38645418326693226,)","(0.30030959752321984,)"
271,"['V14', 'V25', 'V23', 'V10', 'V18', 'V20', 'V28', 'V3']",8,3,-39.67222899903359,0.9568497391482751,"(0.543778801843318,)","(0.48760330578512395,)","(0.6145833333333334,)",0.9564633351819176,"(0.4583901773533425,)","(0.4097560975609756,)","(0.5201238390092879,)"
272,"['V7', 'V12', 'V10', 'V20', 'V6', 'V5']",6,5,-37.5258187833161,0.9404486869486209,"(0.45508982035928147,)","(0.5352112676056338,)","(0.3958333333333333,)",0.9465210029370896,"(0.4035714285714286,)","(0.4767932489451477,)","(0.3498452012383901,)"
273,"['V16', 'V7', 'V12', 'V3', 'V24']",5,4,-22.92659650389667,0.9262690876051468,"(0.6440677966101694,)","(0.7037037037037037,)","(0.59375,)",0.9293890275043242,"(0.5568760611205432,)","(0.6165413533834586,)","(0.5077399380804953,)"
274,"['V2', 'V7', 'V11', 'V13', 'V28', 'V24']",6,7,-24.914949746162794,0.9245336176324044,"(0.4052287581699347,)","(0.543859649122807,)","(0.3229166666666667,)",0.9290620587725165,"(0.3460764587525151,)","(0.4942528735632184,)","(0.26625386996904027,)"
275,"['V23', 'V16', 'V7', 'V4', 'V13', 'V22', 'V24']",7,1,-134.51164967916927,0.9438529485037663,"(0.29714285714285715,)","(0.3291139240506329,)","(0.2708333333333333,)",0.9348726769484765,"(0.24778761061946902,)","(0.2892561983471074,)","(0.21671826625386997,)"
276,"['V8', 'V23', 'V13', 'V6', 'V27', 'V21', 'V17']",7,7,-34.694558013147855,0.9398128608693104,"(0.4624277456647399,)","(0.5194805194805194,)","(0.4166666666666667,)",0.9308125485429284,"(0.4044526901669759,)","(0.5046296296296297,)","(0.33746130030959753,)"
277,"['V8', 'V15', 'V10', 'V7', 'V20', 'V13', 'V6', 'V5']",8,1,-122.89519703955101,0.922977849585275,"(0.208,)","(0.16883116883116883,)","(0.2708333333333333,)",0.9101976868331785,"(0.1887287024901704,)","(0.16363636363636364,)","(0.22291021671826625,)"
278,"['V7', 'V19', 'V20', 'V9', 'V6', 'V22', 'V17']",7,2,-55.199006812005194,0.963906108033647,"(0.43979057591623033,)","(0.4421052631578947,)","(0.4375,)",0.9541912735752924,"(0.3841059602649007,)","(0.4128113879003559,)","(0.3591331269349845,)"
279,"['V2', 'V25', 'V10', 'V4', 'V18', 'V11', 'V20', 'V3']",8,7,-31.46611184525887,0.9714206160790175,"(0.49246231155778897,)","(0.47572815533980584,)","(0.5104166666666666,)",0.958230779010668,"(0.467175572519084,)","(0.4608433734939759,)","(0.47368421052631576,)"
280,"['V15', 'V18', 'V11', 'V6', 'V21', 'V1', 'V17']",7,1,-200.0218278251522,0.9595274993405433,"(0.4076433121019108,)","(0.5245901639344263,)","(0.3333333333333333,)",0.9349909867903594,"(0.3541247484909456,)","(0.5057471264367817,)","(0.2724458204334365,)"
281,"['V14', 'V23', 'V12', 'V20', 'V5', 'V27', 'V17']",7,6,-30.193202915247035,0.9658150517307071,"(0.542713567839196,)","(0.5242718446601942,)","(0.5625,)",0.9588980686328762,"(0.48348348348348347,)","(0.46938775510204084,)","(0.4984520123839009,)"
